,Link,Dealer/private,Price_kr,Mileage_km,Color,AWD/RWD,Age_in_months,Acceleration_category,Range_category
322,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6136211,True,274900,85000,Grey,False,37,medium,medium
323,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6147403,True,319900,17000,White,False,35,medium,medium
324,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6138824,True,344700,12000,White,True,18,fast,short
325,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6134081,True,285000,22000,Silver,False,35,medium,medium
326,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6123145,True,329500,11000,Blue,False,12,medium,long
327,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5584311,True,359900,22000,White,False,19,medium,medium
328,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6088835,True,224900,12000,Grey,False,31,slow,short
329,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6130407,True,319900,22000,Grey,False,40,medium,medium
330,https://www.bilbasen.dk/brugt/bil/vw/id4/tech-performance-5d/6117676,True,339900,10000,Grey,False,32,medium,medium
331,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6084938,True,319900,13000,White,False,20,medium,long
332,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153109,True,309900,9000,Silver,False,12,medium,long
333,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6153080,True,299900,22000,White,False,34,medium,medium
334,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6118850,True,299900,16000,White,False,29,medium,medium
335,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6111127,True,314500,14000,Red,True,29,fast,short
336,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6137408,True,299900,9000,White,False,21,medium,medium
337,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5844333,True,405900,18000,Grey,True,11,fast,medium
338,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6137729,True,279800,23000,White,False,41,medium,medium
339,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6057637,True,199800,22000,White,False,37,slow,short
340,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148273,True,269900,22000,Grey,False,31,medium,medium
341,https://www.bilbasen.dk/brugt/bil/vw/id4/style-pure-5d/6150932,True,249989,22000,Blue,False,33,slow,short
342,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6151016,True,314900,11300,White,False,16,medium,long
343,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6035186,True,299900,9000,Yellow_gold,False,40,medium,medium
344,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6123925,True,307700,10000,White,False,10,medium,long
345,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6046603,True,309900,15000,Black,False,22,medium,medium
346,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6147456,True,359800,19000,White,True,25,fast,short
347,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6134638,True,309900,23000,Silver,False,13,medium,medium
348,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6154703,True,369000,9000,White,True,11,fast,medium
349,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153088,True,319900,20000,Black,False,11,medium,long
350,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6138640,True,339900,8500,Grey,False,36,medium,medium
351,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153607,True,284900,14000,Blue,False,17,medium,medium
352,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6135339,True,419900,15000,Grey,True,11,fast,medium
353,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6134413,True,314780,22000,Blue,False,32,medium,medium
354,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6141987,True,319900,10000,Black,False,14,medium,long
355,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6087967,True,349800,14000,Black,True,19,fast,short
356,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6152371,True,349900,22000,Silver,True,33,fast,short
357,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6153251,True,349900,20000,Silver,True,11,fast,medium
358,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6067209,True,214900,21000,Grey,False,30,slow,short
359,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6150225,True,249700,12000,Grey,False,26,slow,short
360,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6144983,True,344900,19000,White,False,11,medium,long
361,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6120062,True,324700,12000,Blue,False,11,medium,long
362,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6139118,True,319900,14300,Black,False,15,medium,long
363,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-active-5d/6156756,True,299900,20000,Black,False,13,slow,long
364,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6148221,True,249900,15000,Grey,False,33,medium,short
365,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153554,True,359900,17000,Grey,False,33,medium,medium
366,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6125183,True,307700,15000,Blue,False,11,medium,long
367,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6140039,True,329900,10528,White,False,37,medium,medium
368,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6059400,True,355000,10000,Black,False,15,medium,medium
369,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6006600,True,289900,20000,Grey,False,41,medium,medium
370,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6154059,True,289900,10000,White,False,11,slow,long
371,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6098925,True,359800,10000,Grey,True,14,fast,medium
372,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6123144,True,322500,12000,Red,False,15,medium,long
373,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6130332,True,314700,9000,Black,False,10,medium,long
374,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6130606,True,254000,11000,Black,False,24,medium,short
375,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6145468,True,339900,18000,Blue,False,15,medium,long
376,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6139428,True,289900,22000,Black,False,17,medium,long
377,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-active-5d/6062562,True,329900,15000,Blue,False,12,medium,long
378,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153605,True,329700,9000,Red,False,11,medium,long
379,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6048153,True,299700,15000,Grey,False,31,medium,medium
380,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5724595,True,399800,14000,White,True,13,fast,medium
381,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6061658,True,219900,23000,Grey,False,29,slow,short
382,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6132275,True,307700,11000,Silver,False,11,medium,long
383,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6138554,True,302900,20000,Grey,False,18,medium,long
384,https://www.bilbasen.dk/brugt/bil/vw/id4/business-performance-5d/6147621,True,299700,22000,Grey,False,34,medium,medium
385,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6090707,True,334900,12000,Blue,False,14,medium,long
386,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148720,True,304700,12000,Silver,False,11,medium,long
387,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6090878,True,339900,18000,White,True,32,fast,short
388,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6070965,True,319900,12000,Blue,False,41,medium,medium
389,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6157292,True,349800,15000,Black,True,15,fast,medium
390,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6126821,True,319900,12000,White,False,16,slow,medium
391,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6155516,True,309800,10000,White,False,15,medium,long
392,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6151053,True,239900,17000,Red,False,26,slow,short
393,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-city-5d/6148664,True,234900,10000,White,False,33,slow,short
394,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6052656,True,349900,23000,Grey,False,30,medium,medium
395,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6032174,True,319800,14000,Black,False,19,medium,medium
396,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6138531,True,304900,19000,Grey,False,13,medium,medium
397,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6150804,True,239700,23000,Grey,False,27,slow,short
398,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6140544,True,344800,23000,White,False,11,medium,long
399,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5881494,True,379900,17000,Blue,True,29,fast,short
400,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-active-5d/6063951,True,329900,19000,White,False,13,medium,long
401,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148118,True,319900,20000,White,False,12,medium,long
402,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6152907,True,239800,20000,Grey,False,30,medium,short
403,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6085029,True,324900,17000,Silver,False,19,medium,long
404,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6001176,True,449700,18000,Black,True,13,fast,medium
405,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6026778,True,289990,13500,Grey,False,41,medium,medium
406,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6139551,True,314999,14300,Silver,True,21,fast,short
407,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6157413,True,319900,22500,White,False,21,medium,medium
408,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6139373,True,279900,23000,Black,False,26,medium,medium
409,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6039415,True,335000,19000,Blue,False,31,medium,medium
410,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6156512,True,299900,20000,Black,False,17,medium,long
411,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6151055,True,239000,20000,Blue,False,26,slow,short
412,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6145799,True,234900,16000,Grey,False,27,slow,short
413,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6154298,True,284900,19000,Grey,False,17,medium,long
414,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153038,True,319900,9700,Black,False,11,medium,long
415,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5908411,True,469900,10000,Blue,True,6,fast,medium
416,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6122792,True,324700,12000,Blue,False,11,medium,long
417,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6130514,True,329800,14000,Grey,False,41,medium,medium
418,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6152092,True,299999,17500,Red,True,34,fast,short
419,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6140068,True,339800,21000,White,False,35,medium,medium
420,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6156858,True,219800,12000,Grey,False,28,slow,short
421,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-active-5d/6046602,True,339900,9000,Blue,False,12,medium,long
422,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6123617,True,284900,14000,White,False,37,medium,medium
423,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6150307,True,349700,19000,White,True,14,fast,medium
424,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6139160,True,309990,15800,Black,False,14,medium,long
425,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6021740,True,309800,21000,Red,False,27,medium,medium
426,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-5d/6072269,True,279900,23000,White,False,29,medium,medium
427,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6138361,True,304900,13500,Grey,False,16,medium,medium
428,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6101534,True,299900,11500,Grey,False,34,medium,medium
429,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6137369,True,278800,17000,White,False,19,slow,short
430,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/5978679,True,369900,9000,Blue,False,17,slow,long
431,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-city-5d/6130502,True,239900,19000,Grey,False,28,slow,short
432,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6144588,True,229800,22000,White,False,28,slow,short
433,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148116,True,319900,15000,Silver,False,17,medium,long
434,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5978619,True,399900,12000,Black,False,18,medium,medium
435,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6128155,True,319900,9000,Grey,False,19,medium,medium
436,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5798884,True,349900,15000,Red,True,20,fast,short
437,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6155524,True,359800,9000,Grey,False,15,medium,long
438,https://www.bilbasen.dk/brugt/bil/vw/id4/family-performance-5d/6049307,True,324900,21000,White,False,28,medium,medium
439,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6062918,True,234700,12000,White,False,30,slow,short
440,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6143565,True,299500,9000,White,False,11,slow,long
441,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6156082,True,279900,20800,Grey,False,37,medium,medium
442,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5871356,True,349900,13000,White,False,18,medium,long
443,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6027624,True,297700,23000,White,False,40,medium,medium
444,https://www.bilbasen.dk/brugt/bil/vw/id4/city-pure-performance-5d/5980952,True,224900,23000,Grey,False,33,medium,short
445,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6154951,True,399900,18000,White,True,18,fast,short
446,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6136091,True,214500,19000,Grey,False,27,slow,short
447,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6157540,True,310000,15000,White,False,18,medium,long
448,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6079318,True,204700,22000,Grey,False,33,slow,short
449,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6069683,True,369000,21000,Blue,True,14,fast,medium
450,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6151009,True,279500,14500,Grey,False,29,medium,medium
451,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148915,True,309900,11000,White,False,11,medium,long
452,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-business-5d/6100456,True,299800,17000,Grey,False,35,medium,medium
453,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6062811,True,234900,16500,Grey,False,31,medium,short
454,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6152809,True,354600,10400,Black,True,14,fast,long
455,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6150546,True,335000,12000,Grey,False,13,medium,long
456,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6128421,True,369900,17000,White,False,18,medium,long
457,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6139369,True,309900,21000,White,False,28,medium,medium
458,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6038967,True,349900,17500,Red,True,33,fast,short
459,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6157463,True,314800,14000,Black,False,13,medium,long
460,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6136340,True,320000,11992,Blue,False,14,medium,long
461,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6149388,True,348900,18000,Silver,True,11,fast,medium
462,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6012941,True,444900,12000,Black,True,13,fast,medium
463,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6122843,True,319900,8400,Grey,False,17,medium,long
464,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6158226,True,319800,21000,Black,False,14,medium,long
465,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6054424,True,354980,9800,White,False,20,medium,medium
466,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6087959,True,369800,16000,Black,True,14,fast,medium
467,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6091799,True,354800,22000,White,True,33,fast,short
468,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6036483,True,214900,20000,Grey,False,33,slow,short
469,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6135433,True,369900,15000,Silver,True,13,fast,medium
470,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6101164,True,399900,21000,White,True,11,fast,medium
471,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6138625,True,334900,12000,Yellow_gold,False,37,medium,medium
472,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/5877980,False,207000,46000,Yellow_gold,False,35,medium,short
473,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6156856,False,298000,17000,Black,False,15,medium,long
474,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6158360,False,339900,29000,White,True,35,fast,short
475,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6096971,False,309000,25000,Black,False,18,medium,medium
476,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6036654,False,334900,43000,Black,True,20,fast,short
477,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-business-5d/6076248,False,209209,163000,White,False,36,medium,medium
478,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6151693,False,319900,43000,White,False,17,slow,long
479,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-pro-5d/6034008,False,264900,24000,White,False,38,medium,medium
480,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6151532,False,370000,33000,Grey,True,23,fast,short
481,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5944394,False,339000,15000,Black,False,18,medium,medium
482,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6153307,False,350000,8000,White,True,15,fast,medium
483,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6135843,False,295000,25000,Silver,False,17,medium,medium
484,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6129629,False,299500,42000,Grey,False,37,medium,medium
485,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6144536,False,295000,26000,Blue,False,17,medium,long
